experiment,fold,method,n,accuracy,precision_urgent,recall_urgent,f1_urgent,f1_macro,true_negative,false_positive,false_negative,true_positive
E3_5_Fold_CV,1,Rule-Based,20,0.95,1.0,0.8333333333333334,0.9090909090909091,0.9373040752351097,14,0,1,5
E3_5_Fold_CV,1,Decision Tree,20,1.0,1.0,1.0,1.0,1.0,14,0,0,6
E3_5_Fold_CV,2,Rule-Based,20,1.0,1.0,1.0,1.0,1.0,14,0,0,6
E3_5_Fold_CV,2,Decision Tree,20,1.0,1.0,1.0,1.0,1.0,14,0,0,6
E3_5_Fold_CV,3,Rule-Based,20,0.85,1.0,0.5,0.6666666666666666,0.7849462365591398,14,0,3,3
E3_5_Fold_CV,3,Decision Tree,20,0.9,1.0,0.6666666666666666,0.8,0.8666666666666667,14,0,2,4
E3_5_Fold_CV,4,Rule-Based,20,1.0,1.0,1.0,1.0,1.0,14,0,0,6
E3_5_Fold_CV,4,Decision Tree,20,0.95,0.8571428571428571,1.0,0.9230769230769231,0.9430199430199431,13,1,0,6
E3_5_Fold_CV,5,Rule-Based,19,0.8947368421052632,1.0,0.6666666666666666,0.8,0.8642857142857143,13,0,2,4
E3_5_Fold_CV,5,Decision Tree,19,0.9473684210526315,1.0,0.8333333333333334,0.9090909090909091,0.936026936026936,13,0,1,5
